subset_type,frac,n_train,train_loss,train_acc,val_loss,val_acc,val_auc,val_best_thr,test_loss,test_acc,test_auc,best_epoch,best_val_auc,best_path
full,1.0,69220,0.5484536699193242,0.7263363189829529,0.5949909248772789,0.6974110032362459,0.7460780060618046,0.33766353130340576,0.582193303415004,0.7086222838650024,0.7547329387562813,14,0.7460780060618046,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/full_100pct_best.pt
top,0.95,65759,0.4763309483448993,0.7696284919174562,0.641602540279136,0.6977577438742487,0.7495325740237911,0.33778074383735657,0.6285804628449327,0.7067730004623208,0.7552124350302216,16,0.7495325740237911,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_95pct_best.pt
top,0.9,62298,0.3681812059608512,0.8267520626665382,0.7064366239835235,0.7006472491909385,0.7578936194776681,0.3017403483390808,0.7194370224195368,0.7015718908922792,0.7509235659890072,22,0.7578936194776681,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_90pct_best.pt
top,0.85,58837,0.2715064299242247,0.8775090504274521,0.8533509038388729,0.7109338881183541,0.7631875197675891,0.24703991413116455,0.8749590183005613,0.7081599630143319,0.7525296708432601,25,0.7631875197675891,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_85pct_best.pt
top,0.8,55376,0.2470306836425673,0.8904037850332274,0.9090150160824552,0.7079288025889967,0.7615644374569392,0.4220011532306671,0.9305572777109987,0.7006472491909385,0.754019319136745,21,0.7615644374569392,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_80pct_best.pt
top,0.75,51915,0.126597886666222,0.9486468265433883,1.254757046699524,0.7141701340730467,0.7626081277522355,0.11384730041027069,1.305720109711675,0.7093157651410079,0.752528928205768,29,0.7626081277522355,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_75pct_best.pt
top,0.7,48454,0.11182042486390645,0.9587237379782887,1.185240622390719,0.7145168747110495,0.7601798557045558,0.40775224566459656,1.2358701369341683,0.7068885806749884,0.7489867674101184,25,0.7601798557045558,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_70pct_best.pt
top,0.65,44993,0.06842004977211631,0.9745515969150756,1.498658753493253,0.7155570966250578,0.7619547684637787,0.2880047857761383,1.5771014054908472,0.7043458159963014,0.7488243498401295,30,0.7619547684637787,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_65pct_best.pt
top,0.6,41532,0.03716746423401918,0.9864441876143697,1.7171923719784792,0.7141701340730467,0.7609887767283595,0.06754204630851746,1.8304022668915636,0.6998381877022654,0.7468445883070791,29,0.7609887767283595,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_60pct_best.pt
top,0.55,38071,0.030996422902015704,0.9902287830632239,1.6813924952464945,0.7134766527970412,0.7580336250394804,0.08853453397750854,1.7746377486516447,0.7049237170596394,0.7464522006604302,24,0.7580336250394804,/scratch/st-rohling-1/2025_capstone/final_runs/OT//out_10262953/subset_top_55pct_best.pt
