direction,frac,seed,n_train,train_loss,train_auc,val_loss,val_auc,test_loss,test_auc,best_epoch,best_val_auc
top,1.0,42,89696,0.1433914626655815,0.8496838425430716,0.15231330531444984,0.8167324782599695,0.15389334784019368,0.8086483401192268,19,0.8167324782599695
bottom,0.9,42,80726,0.16471069756625098,0.8078857200289614,0.1550287733178193,0.8008165479408269,0.15621810510457412,0.796754678308595,8,0.8008165479408269
random,0.9,43,80726,0.15108858448760734,0.8191974332679449,0.1549401336755508,0.8024559891868124,0.15636923779704293,0.7957891205844102,8,0.8024559891868124
top,0.9,42,80726,0.11587732877571975,0.819320901747532,0.15975186555643706,0.7958204934582823,0.1617198634860862,0.7854382414849982,8,0.7958204934582823
bottom,0.8,42,71757,0.18143751199024627,0.7948224178044325,0.15685530236134163,0.7929836918557892,0.15807788107979331,0.7866850083109063,8,0.7929836918557892
random,0.8,43,71757,0.15158849129493993,0.8185763943408032,0.15525453316944618,0.8013579572486937,0.15659794597714036,0.7954203439862935,8,0.8013579572486937
top,0.8,42,71757,0.08876679264045538,0.8296443523018656,0.16986102061054306,0.7818463196495292,0.17284305663275243,0.7720796966317113,8,0.7818463196495292
bottom,0.7,42,62787,0.2009733279524594,0.7857801262527235,0.16231724248397725,0.7796254109792667,0.16327519640538768,0.7719197075482207,8,0.7796254109792667
random,0.7,43,62787,0.1532798317382971,0.8154027169495729,0.1567240523391979,0.7976050653494821,0.158299625026025,0.7895064525061868,8,0.7976050653494821
top,0.7,42,62787,0.07001646213073111,0.8239059307905557,0.18431476372004915,0.7522819615059422,0.18773465784017176,0.7427872177341078,8,0.7522819615059422
bottom,0.5,42,44848,0.24777231374476505,0.772184709098701,0.17816515963131885,0.7529663488070477,0.17889755930316414,0.7424088514881987,8,0.7529663488070477
random,0.5,43,44848,0.15460985285706935,0.81046706447689,0.15766823440365643,0.7868201721405023,0.15909053364030995,0.7840565370628549,8,0.7868201721405023
top,0.5,42,44848,0.01859981633635429,0.9445335872066728,0.265106701443338,0.7160535882098794,0.2716969670011447,0.7130857575262063,8,0.7160535882098794
bottom,0.3,42,26909,0.2974213842794246,0.7575832613091099,0.20129412361699292,0.7204158438857846,0.20179585000218828,0.7085963483795986,8,0.7204158438857846
random,0.3,43,26909,0.1577550922293442,0.7999540674800454,0.15993700431198135,0.7760607915791252,0.16235722790331583,0.7698448800906788,8,0.7760607915791252
top,0.3,42,26909,0.004935096222954369,0.9866577113578987,0.27729443250558317,0.6868973416142801,0.28240894407373546,0.6865179931868343,8,0.6868973416142801
