direction,frac,seed,n_train,train_loss,train_auc,val_loss,val_auc,test_loss,test_auc,best_epoch,best_val_auc
top,1.0,42,89696,0.14302395425319586,0.8495463792190916,0.15255389105730247,0.8170259234943867,0.1539583223158138,0.8087366815947482,20,0.8170259234943867
bottom,0.9,42,80726,0.183372887143045,0.7190518271945084,0.17013060189040638,0.7236969599796099,0.1724603410459991,0.7237218426719768,3,0.7236969599796099
random,0.9,43,80726,0.17003214422479018,0.7279647471050105,0.16934444583379304,0.7226073481556166,0.17182715538560156,0.7216122148171745,3,0.7226073481556166
top,0.9,42,80726,0.14322661738392384,0.7210157124485186,0.1714190820980276,0.7163368741190494,0.1740811157897327,0.7131613979903102,3,0.7163368741190494
bottom,0.8,42,71757,0.19650123663814642,0.71097906608231,0.1704802547934388,0.7205272231119029,0.1726150408259824,0.7207139150711388,3,0.7205272231119029
random,0.8,43,71757,0.17052305903330583,0.7275990818659913,0.16977900589293565,0.7180653172636772,0.17234987211533082,0.7198335944200303,3,0.7180653172636772
top,0.8,42,71757,0.12727423838447285,0.7209867756056549,0.17385760202282174,0.7056116639773004,0.17615220825217048,0.7089828460982667,3,0.7056116639773004
bottom,0.7,42,62787,0.21035590621353836,0.70612064236084,0.1736186862713591,0.7135854744352292,0.1757299489954598,0.7158848866569991,3,0.7135854744352292
random,0.7,43,62787,0.17105139029068542,0.7249747192896407,0.17024577228601842,0.7138533035001954,0.1724049349201371,0.7171954953084309,3,0.7138533035001954
top,0.7,42,62787,0.11440211615723976,0.7135311238299963,0.18005319882152426,0.6949142513018339,0.18282762258990198,0.6919755488172145,3,0.6949142513018339
bottom,0.5,42,44848,0.23766001735344933,0.6998961907998844,0.17644735255896876,0.7070683595576666,0.17822556159435174,0.7127976411234791,3,0.7070683595576666
random,0.5,43,44848,0.1730341268185202,0.7158699810681177,0.1713619243640166,0.7064725399309666,0.17381986559626045,0.7076370376773226,3,0.7064725399309666
top,0.5,42,44848,0.0889897019670115,0.6765542514623025,0.1883930853883765,0.6547615138587172,0.19186784110517582,0.6545757142668228,3,0.6547615138587172
bottom,0.3,42,26909,0.2763118638649282,0.6878862131949639,0.18469143385051662,0.6908023421012591,0.1868141605983093,0.6956006667316835,3,0.6908023421012591
random,0.3,43,26909,0.1742703757746041,0.6963145943925957,0.1722164417476396,0.6860881922729597,0.174803475814837,0.691453490080377,3,0.6860881922729597
top,0.3,42,26909,0.06203322896709517,0.6259587816358582,0.20637831047304675,0.6007920555103253,0.20987923776577,0.6031577273460472,3,0.6007920555103253
